Bomo_Chr23	10829193	10829327
Bomo_Chr23	5821069	5821207
Bomo_Chr23	4425460	4425663
Bomo_Chr23	11830595	11830779
Bomo_Chr23	5501194	5501361
Bomo_Chr23	12781530	12781637
Bomo_Chr23	6221964	6222198
Bomo_Chr23	2351343	2351476
Bomo_Chr23	4528232	4528354
Bomo_Chr23	2664336	2664519
Bomo_Chr23	11831364	11831712
Bomo_Chr23	4620173	4620410
Bomo_Chr23	10812567	10812896
Bomo_Chr23	10854619	10854816
Bomo_Chr23	13518338	13518491
Bomo_Chr23	11581928	11582036
Bomo_Chr23	20910610	20910765
Bomo_Chr23	4897379	4897493
Bomo_Chr23	18157961	18158154
Bomo_Chr23	4606332	4606441
Bomo_Chr23	12795813	12795921
Bomo_Chr23	5970987	5971089
Bomo_Chr23	11371932	11372105
Bomo_Chr23	5594982	5595076
Bomo_Chr23	5932949	5933158
Bomo_Chr23	10813378	10813518
Bomo_Chr23	18261211	18261394
Bomo_Chr23	16895481	16895880
Bomo_Chr23	11420490	11420724
Bomo_Chr23	7800898	7801178
Bomo_Chr23	14940836	14941009
Bomo_Chr23	2665847	2665995
Bomo_Chr23	13740007	13740338
Bomo_Chr23	20678750	20678932
Bomo_Chr23	18127854	18128034
Bomo_Chr23	7626307	7626409
Bomo_Chr23	9367456	9367711
Bomo_Chr23	6604981	6605089
Bomo_Chr23	10426495	10426643
Bomo_Chr23	13796149	13796335
Bomo_Chr23	21210228	21210371
Bomo_Chr23	11539707	11539869
Bomo_Chr23	18267222	18267316
Bomo_Chr23	4794864	4795007
Bomo_Chr23	19720667	19720944
Bomo_Chr23	13234092	13234330
Bomo_Chr23	2020059	2020215
Bomo_Chr23	3607365	3607600
Bomo_Chr23	11552154	11552366
Bomo_Chr23	11699041	11699352
Bomo_Chr23	6626423	6626562
Bomo_Chr23	10853635	10853821
Bomo_Chr23	20806805	20807019
Bomo_Chr23	13961815	13962043
Bomo_Chr23	18736503	18736749
Bomo_Chr23	9158961	9159086
Bomo_Chr23	16018390	16018605
Bomo_Chr23	7864196	7864300
Bomo_Chr23	14133071	14133213
Bomo_Chr23	16763810	16763958
Bomo_Chr23	6622385	6622503
Bomo_Chr23	19622479	19622718
Bomo_Chr23	12600121	12600322
Bomo_Chr23	5965563	5965831
Bomo_Chr23	12198918	12199152
Bomo_Chr23	11688334	11688473
Bomo_Chr23	13796708	13796989
Bomo_Chr23	7029060	7029319
Bomo_Chr23	21392063	21392351
Bomo_Chr23	10865416	10865560
Bomo_Chr23	14164018	14164154
Bomo_Chr23	6709535	6709701
Bomo_Chr23	7005793	7006062
Bomo_Chr23	10903149	10903531
Bomo_Chr23	6603952	6604150
Bomo_Chr23	4663754	4664014
Bomo_Chr23	20083795	20083941
Bomo_Chr23	12820002	12820376
Bomo_Chr23	17360120	17360372
Bomo_Chr23	2721214	2721497
