chrX	8184943	8185508	0.00492	153.342519381951
chr2R	15101897	15102980	0.00611	147.092238092362
chr3L	15275083	15275602	0.00627	146.346376832695
chr2R	11610203	11610768	0.00715	142.556820855421
chrX	8490199	8490749	0.00811	138.921647404391
chr3L	18896232	18896799	0.00922	135.220350680149
chr3R	26853400	26854330	0.0105	131.469337237667
chr2L	19575947	19576356	0.011	130.127053320496
chr3L	15350279	15350902	0.0118	128.101386603752
chr2L	17807754	17808295	0.0125	126.438561897747
chr2R	9634235	9634602	0.0128	125.754247590989
chr3R	7135929	7136261	0.014	123.16858725209
chr3R	7088963	7089241	0.0147	121.760800694262
chr3L	15107262	15107863	0.0149	121.370877181746
chr3L	12690730	12691051	0.0172	117.228952496947
chr2R	15632836	15633605	0.0172	117.228952496947
chr3R	11234930	11235311	0.0177	116.402136589329
chr2R	10771510	10772024	0.0188	114.662470557436
chr2R	14431655	14431864	0.0193	113.905106845627
chr2L	1273329	1273866	0.0193	113.905106845627
chr3R	12422720	12422914	0.0219	110.258506398966
chrX	8242378	8242732	0.0231	108.719266762668
chr2R	23357111	23357469	0.0233	108.470524697903
chr2R	10542240	10542566	0.0239	107.736911431374
chr3R	31642418	31642766	0.0239	107.736911431374
chr3R	19166106	19166459	0.0251	106.323376511974
chr3R	15846082	15846536	0.0253	106.094376097103
chr2R	16104328	16104596	0.0267	104.540328957238
chrX	9243441	9243590	0.0283	102.861082734351
chr2R	7229077	7229553	0.0286	102.556820855421
chr3R	8652923	8653303	0.0287	102.456109057475
chrX	10344187	10344465	0.0293	101.859110502544
chr3R	8857646	8858088	0.0298	101.370877181746
chr3R	28129429	28129736	0.0298	101.370877181746
chr3L	22878694	22879116	0.0299	101.274214107027
chr3L	10545337	10545661	0.0303	100.89076792153
chr2L	2544865	2545162	0.0319	99.4059953156916
chr2L	17558363	17558837	0.0321	99.2256578485429
chr2L	15580515	15580834	0.0332	98.2534589640505
chrX	4602101	4602317	0.0357	96.158642310407
chr3L	15268638	15269075	0.0359	95.997446914528
chr2L	6318162	6318553	0.0369	95.2047074697811
chr2L	8257494	8257673	0.0378	94.5093991065675
chr2R	14769365	14769571	0.0388	93.7559907472464
chr2R	10788762	10789177	0.0393	93.3865375458169
chr3R	15573296	15573817	0.0396	93.1671151893968
chr3R	10862570	10862750	0.04	92.8771237954945
chr2L	6597578	6597794	0.041	92.1646456008801
chrX	9307876	9308158	0.0416	91.7454532281671
chrX	11092816	11093003	0.0419	91.538118917002
chr3L	11180281	11180461	0.0433	90.5897832964545
chr2R	7278035	7278170	0.0471	88.1625825987333
chr3L	14266913	14267321	0.0534	84.5403289572379
chrX	10110960	10111203	0.0546	83.8991047725919
chrX	17709504	17709768	0.0547	83.8463071351379
chr3L	15059213	15059533	0.0555	83.4273683662396
chr2R	22122520	22122683	0.0565	82.912106444938
chr2L	17572978	17573169	0.0587	81.8099137287879
chr2L	14966168	14966314	0.0594	81.4678651749737
chr2R	24174409	24174594	0.0599	81.2260037352133
chr2L	8082679	8082778	0.0609	80.7482792328623
chr3R	23804897	23805231	0.0623	80.092480530509
chrX	6936930	6937252	0.0631	79.724323691338
chr4	883152	883308	0.0655	78.6472256624927
chr2R	19524955	19525269	0.0659	78.471554490828
chr3R	25372706	25373032	0.066	78.4278033060727
chr3R	5813258	5813539	0.0662	78.3404994548446
chrX	12884387	12884566	0.0664	78.2534589640505
chr2L	2856304	2856525	0.069	77.1451965576784
chr2L	6302418	6302661	0.0705	76.5246586452659
chr3R	29493146	29493254	0.0719	75.957288382203
chr3R	6369136	6369336	0.0738	75.2047074697811
chr3R	25412721	25412978	0.0746	74.8936111858842
chr2R	10874288	10874559	0.0749	74.777809421814
chr3L	9981705	9982139	0.0773	73.867755512492
chr2R	21894771	21894999	0.0776	73.7559907472464
chr2L	7526756	7526923	0.0804	72.7332137674104
chr2L	15601058	15601242	0.0843	71.3664711721473
chr2R	18981421	18981571	0.0908	69.2232778451707
chr2R	19842785	19843109	0.0908	69.2232778451707
chr2L	19577261	19577354	0.0951	67.8882169737777
chrX	4241509	4241810	0.0952	67.8578923248301
chr3L	257596	257721	0.0962	67.5563859155882
chr3R	7575296	7575445	0.0981	66.9920610666042
chr3L	5810014	5811268	0.00273	170.337666670339
chr2R	6141163	6141802	0.00305	167.139500839731
chr2R	24242166	24242807	0.00397	159.532905545877
chr2L	19021309	19021897	0.00476	154.296454222577
chr2L	11130627	11131199	0.00504	152.647211018738
chrX	9135330	9136069	0.00555	149.865930263987
chr2R	18690650	18690915	0.00658	144.953934014031
chrX	20507402	20507869	0.00906	135.725464687812
chr3R	12580283	12580839	0.00917	135.377251016835
chr3L	10237674	10238602	0.00935	134.816358393236
